time,x,y,z,vx,vy,vz
7.399999999999999634e-02,-2.739398445616472028e-02,-2.753152741678246626e-02,2.459792051829991222e-01,-6.982744604194350835e-01,-7.017804395063229617e-01,6.269961842211749570e+00
7.499999999999999722e-02,-2.810038300683967427e-02,-2.824147273693855889e-02,2.523221117357506982e-01,-7.063985506749530519e-01,-7.099453201560917970e-01,6.342906552751584215e+00
7.599999999999999811e-02,-2.881486329340748193e-02,-2.895954037072395737e-02,2.587375825847960664e-01,-7.144802865678090420e-01,-7.180676337853998392e-01,6.415470849045370905e+00
7.699999999999999900e-02,-2.953738269587812340e-02,-2.968568748415715067e-02,2.652252349308912294e-01,-7.225194024706420581e-01,-7.261471134331928257e-01,6.487652346095150513e+00
7.799999999999999989e-02,-3.026789833767387985e-02,-3.041987098538062248e-02,2.717846836710031688e-01,-7.305156417957575643e-01,-7.341835012234702029e-01,6.559448740111945675e+00
7.900000000000000078e-02,-3.100636709464330357e-02,-3.116204753372007683e-02,2.784155414792875982e-01,-7.384687569694239340e-01,-7.421765483394530127e-01,6.630857808284445376e+00
8.000000000000000167e-02,-3.175274560404610369e-02,-3.191217354871444395e-02,2.851174188878050630e-01,-7.463785094028032585e-01,-7.501260149943681510e-01,6.701877408517454171e+00
8.100000000000000255e-02,-3.250699027350568288e-02,-3.267020521911336017e-02,2.918899243669457744e-01,-7.542446694595817958e-01,-7.580316703989167237e-01,6.772505479140686901e+00
8.200000000000000344e-02,-3.326905728992605310e-02,-3.343609851183885345e-02,2.987326644055343094e-01,-7.620670164203670049e-01,-7.658932927254920031e-01,6.842740038588519091e+00
8.300000000000000433e-02,-3.403890262836997693e-02,-3.420980918090807399e-02,3.056452435905856468e-01,-7.698453384439214453e-01,-7.737106690692192590e-01,6.912579185051310304e+00
8.400000000000000522e-02,-3.481648206089527769e-02,-3.499129277631395779e-02,3.126272646866845584e-01,-7.775794325253018169e-01,-7.814835954058836354e-01,6.982021096098925739e+00
8.500000000000000611e-02,-3.560175116534625150e-02,-3.578050465286077703e-02,3.196783287149616570e-01,-7.852691044509735319e-01,-7.892118765468203456e-01,7.051064028277089335e+00
8.600000000000000699e-02,-3.639466533409722870e-02,-3.657739997895161771e-02,3.267980350316389004e-01,-7.929141687509764225e-01,-7.968953260908397951e-01,7.119706316677239855e+00
8.700000000000000788e-02,-3.719517978274543973e-02,-3.738193374532487734e-02,3.339859814061194032e-01,-8.005144486482096422e-01,-8.045337663732576861e-01,7.187946374480509881e+00
8.799999999999999489e-02,-3.800324955875035438e-02,-3.819406077373698610e-02,3.412417640985959122e-01,-8.080697760049134759e-01,-8.121270284121082650e-01,7.255782692476516971e+00
8.899999999999999578e-02,-3.881882955001677432e-02,-3.901373572558859693e-02,3.485649779371535750e-01,-8.155799912664205564e-01,-8.196749518516132094e-01,7.323213838557635746e+00
8.999999999999999667e-02,-3.964187449341902841e-02,-3.984091311049157980e-02,3.559552163943430214e-01,-8.230449434022534261e-01,-8.271773849029833148e-01,7.390238457189418853e+00
9.099999999999999756e-02,-4.047233898326366847e-02,-4.067554729477421138e-02,3.634120716632008863e-01,-8.304644898446428281e-01,-8.346341842826283663e-01,7.456855268857855101e+00
9.199999999999999845e-02,-4.131017747968820930e-02,-4.151759250992206191e-02,3.709351347326950155e-01,-8.378384964245436661e-01,-8.420452151478513558e-01,7.523063069494146937e+00
9.299999999999999933e-02,-4.215534431699343582e-02,-4.236700286095217149e-02,3.785239954625727044e-01,-8.451668373052269034e-01,-8.494103510301072024e-01,7.588860729877713318e+00
9.400000000000000022e-02,-4.300779371190695949e-02,-4.322373233471807352e-02,3.861782426575908200e-01,-8.524493949135216742e-01,-8.567294737658998072e-01,7.654247195018088590e+00
9.500000000000000111e-02,-4.386747977177574837e-02,-4.408773480814347223e-02,3.938974641411072675e-01,-8.596860598687883215e-01,-8.640024734253982652e-01,7.719221483516431448e+00
9.600000000000000200e-02,-4.473435650268544478e-02,-4.495896405638231952e-02,4.016812468280145931e-01,-8.668767309096979679e-01,-8.712292482388488413e-01,7.783782686907342097e+00
9.700000000000000289e-02,-4.560837781750434056e-02,-4.583737376090318144e-02,4.095291767969962415e-01,-8.740213148188973324e-01,-8.784097045208615340e-01,7.847929968981672388e+00
9.800000000000000377e-02,-4.648949754384997662e-02,-4.672291751749582667e-02,4.174408393620873126e-01,-8.811197263456358453e-01,-8.855437565926486121e-01,7.911662565091047483e+00
9.900000000000000466e-02,-4.737766943197641023e-02,-4.761554884419812173e-02,4.254158191435221115e-01,-8.881718881264338838e-01,-8.926313267022948361e-01,7.974979781434782922e+00
1.000000000000000056e-01,-4.827284716258027630e-02,-4.851522118914125548e-02,4.334537001378520049e-01,-8.951777306038692927e-01,-8.996723449431358599e-01,8.037880994329906770e+00
1.010000000000000064e-01,-4.917498435452383881e-02,-4.942188793831157889e-02,4.415540657873169850e-01,-9.021371919435596798e-01,-9.066667491703239712e-01,8.100365649464976059e+00
1.020000000000000073e-01,-5.008403457247325580e-02,-5.033550242322723522e-02,4.497164990484553426e-01,-9.090502179494170942e-01,-9.136144849156569991e-01,8.162433261138380303e+00
1.030000000000000082e-01,-5.099995133445051065e-02,-5.125601792852798461e-02,4.579405824599371844e-01,-9.159167619772548008e-01,-9.205155053007516575e-01,8.224083411481842631e+00
1.040000000000000091e-01,-5.192268811929733052e-02,-5.218338769947662020e-02,4.662258982096069704e-01,-9.227367848468180922e-01,-9.273697709486322660e-01,8.285315749669768692e+00
1.049999999999999961e-01,-5.285219837404964843e-02,-5.311756494937043549e-02,4.745720282007221402e-01,-9.295102547523195202e-01,-9.341772498938172298e-01,8.346129991115175173e+00
1.059999999999999970e-01,-5.378843552122120064e-02,-5.405850286686141037e-02,4.829785541173750030e-01,-9.362371471715525972e-01,-9.409379174909758836e-01,8.406525916652839214e+00
1.069999999999999979e-01,-5.473135296599485750e-02,-5.500615462318364512e-02,4.914450574890853463e-01,-9.429174447736582421e-01,-9.476517563222324192e-01,8.466503371710357939e+00
1.079999999999999988e-01,-5.568090410332047352e-02,-5.596047337928683474e-02,4.999711197545531616e-01,-9.495511373256192433e-01,-9.543187561031905020e-01,8.526062265467794887e+00
1.089999999999999997e-01,-5.663704232491802854e-02,-5.692141229287459026e-02,5.085563223245597175e-01,-9.561382215975576804e-01,-9.609389135877552945e-01,8.585202570006567058e+00
1.100000000000000006e-01,-5.759972102618493572e-02,-5.788892452534641353e-02,5.172002466440079882e-01,-9.626787012669053567e-01,-9.675122324718226086e-01,8.643924319448217375e+00
1.110000000000000014e-01,-5.856889361300646191e-02,-5.886296324864232626e-02,5.259024742530917784e-01,-9.691725868215228523e-01,-9.740387232959116792e-01,8.702227609083760029e+00
1.120000000000000023e-01,-5.954451350846829555e-02,-5.984348165198913327e-02,5.346625868475859411e-01,-9.756198954618358066e-01,-9.805184033468101745e-01,8.760112594494191995e+00
1.130000000000000032e-01,-6.052653415947036042e-02,-6.083043294854743877e-02,5.434801663382488046e-01,-9.820206510020629276e-01,-9.869512965583060460e-01,8.817579490662856401e+00
1.140000000000000041e-01,-6.151490904324095899e-02,-6.182377038195850660e-02,5.523547949093290388e-01,-9.883748837705991219e-01,-9.933374334110706139e-01,8.874628571080224404e+00
1.150000000000000050e-01,-6.250959167375058634e-02,-6.282344723279027765e-02,5.612860550761707978e-01,-9.946826305096303500e-01,-9.996768508317692703e-01,8.931260166841784809e+00
1.160000000000000059e-01,-6.351053560802462361e-02,-6.382941682488174617e-02,5.702735297419103677e-01,-1.000943934274041602e+00,-1.005969592091462195e+00,8.987474665739588531e+00
1.170000000000000068e-01,-6.451769445235430722e-02,-6.484163253158510554e-02,5.793168022532584338e-01,-1.007158844329687497e+00,-1.012215706703363693e+00,9.043272511348078524e+00
